AMLO,P_18A29,P_18A29_F,P_18A29_M,P_30A44,P_30A44_M,P_30A44_F,P_45A59,P_45A59_F,P_45A59_M,P_60YMAS,P_60YMAS_M,P_60YMAS_F,POB65_MAS,P_DISC,PEA,ANALF,PHOG_IND,PROM_HNV,GRAPROES,PDER_SS,PDER_SINDER,PAFIL_IPRIV,VPH_INTER,VPH_DSADMA
43.2388809748671,21.1307811462713,10.6012708247716,10.5295103214997,14.121223616687216,6.793959894203311,7.327263722483904,16.13525959177652,8.645823454409424,7.489436137367096,10.85227452344071,4.874972339013056,5.977302184427654,7.159295672241014,5.00795582672104,64.29250828962839,1.6421828112168235,0.4267695128505042,198.0,1084.0,81.59864698258149,18.25087724844308,2.7084584663695086,66.95417163334308,99.32903012992077
52.271151980037885,20.476948152747596,10.3752716547656,10.101676497981993,12.957932319155542,6.055960881713753,6.901971437441788,13.22570630239056,6.727336230984166,6.498370071406396,9.114017385905,4.426032288109282,4.687985097795716,6.463443030114871,5.599968953741074,55.83478736425428,3.523404255319149,0.083436820863086,262.0,853.9999999999999,85.22586153368519,14.727569077926107,0.1804563800062092,36.08674852495615,95.104449051188
33.252814738996925,19.43862660944206,10.058369098712449,9.380257510729614,12.753648068669529,6.094420600858369,6.659227467811159,14.14763948497854,7.375107296137339,6.772532188841201,13.440343347639486,6.496137339055794,6.944206008583691,9.68412017167382,7.018025751072962,58.01063022019742,4.487287625015062,0.2969957081545064,267.0,805.0000000000001,79.60515021459227,20.31244635193133,0.3725321888412017,42.1523221407436,98.8871735494661
43.83980434118007,20.935294117647057,10.558823529411764,10.376470588235296,12.976470588235294,5.976470588235294,7.0,13.7,7.1117647058823525,6.588235294117647,9.488235294117649,4.570588235294117,4.91764705882353,6.576470588235294,4.735294117647059,54.6801872074883,3.1395447237031395,0.088235294117647,251.0,908.0,86.18235294117648,13.805882352941175,0.1941176470588235,44.22148844297688,97.61239522479045
31.105758023156422,20.648200170862548,10.428772637363483,10.219427533499063,14.57026529874008,6.914545636462991,7.6557196622770896,14.392475890678757,7.395577584680864,6.996898305997891,7.554125714813475,3.627365715121336,3.9267599996921394,5.031979003917524,3.875963025960332,66.33652392947103,2.377386951151529,0.3040121912736956,211.0,1022.0,78.83382462729645,21.01070584703954,3.7743690784967177,59.97470945986632,98.58794484253627
44.56077897602345,21.151828065315037,10.674558200058769,10.477269865256265,13.369432900978046,6.43915543802208,6.930277462955967,13.650673718675227,7.1884313478571125,6.462242370818117,9.404776896276708,4.397011291608949,5.007765604667758,6.248163539436679,5.507282877891114,60.95724137931035,2.7249910362136966,0.2392645762498426,237.0,977.0,81.29328799899257,18.591277337027243,0.4575410317760148,54.12011173184357,98.3502094972067
48.03161274388738,21.101988879011312,10.7566804371699,10.345308441841413,12.975648869598563,6.069480032770311,6.906168836828252,12.99133678467465,6.812041346371734,6.179295438302916,9.175687217835415,4.357754187801774,4.817933030033642,6.23856089525702,5.792326866426119,62.184639038367465,3.4426022022528797,0.7129285851243703,246.0,960.0,79.84277222890411,19.862643588000488,0.3869685718767975,46.27910403772473,97.3474801061008
41.57851912123678,20.843802345058627,11.474036850921271,9.369765494137354,12.322026800670017,5.810301507537688,6.511725293132328,13.086264656616416,6.804857621440536,6.28140703517588,10.008375209380237,4.826214405360134,5.182160804020101,7.129396984924624,5.956867671691792,54.24448217317487,2.4390243902439024,0.314070351758794,266.0,924.0,86.892797319933,13.075795644891125,0.397822445561139,30.743385132297355,96.72406551868964
32.94791876131108,21.325327996442077,10.722704024905491,10.60262397153658,12.866355348009783,6.128530131198577,6.737825216811207,13.18656882366022,6.791194129419613,6.395374694240605,9.59750945074494,4.660885034467423,4.936624416277518,6.964643095396931,4.72759617522793,54.42317947502518,4.231683041160983,0.155659328441183,265.0,856.0,84.8032021347565,14.934400711585502,0.1645541472092506,37.90114348948728,96.9015123570638
41.09551485908543,20.49585191579149,10.669927588356591,9.8259243274349,13.39375629405841,6.670503045125401,6.723253248933007,14.391214693329497,7.174027717834364,7.2171869754951326,9.53340046995636,4.752313815757924,4.781086654198437,6.6752985181988205,5.4716347767707285,54.68424705065927,3.8896117236184335,0.0959094614683738,262.0,849.0,78.12784731213735,21.037740373087804,0.1726370306430729,25.508637236084454,94.99040307101728
44.48938321536906,21.35103311450554,10.923109182702389,10.427923931803152,14.95717534719422,7.211639272868042,7.745536074326177,11.732825781892672,5.868025872219624,5.8647999096730485,5.787376808555253,2.838847040985854,2.9485297675693984,3.719534816200784,3.60340016452409,64.82022447231435,2.3541257131898163,0.4322789812410278,216.0,921.0,82.59593206122877,17.055663983741148,0.4645386067067761,49.105998657472384,99.2188930249588
66.93807444037981,20.511168142908968,10.203759742410552,10.307408400498415,14.706392643649156,7.341479516997253,7.3649131266519,17.250967199706178,8.697249029420446,8.553718170285732,12.046452624676943,5.718702048412936,6.327750576264006,7.935882038814169,4.589156998424991,64.10338040412037,2.2818791946308723,5.369676458460547,193.0,1034.0,82.0043397242495,17.53194519239219,2.251879758543691,66.31533786199499,91.35716839470862
59.11284424857104,20.49177360848625,10.014174236420168,10.477599372066086,15.014117082241054,7.643990428580138,7.370126653660916,18.00051819789063,8.885950740718162,9.114567457172468,11.710319758580749,5.432695238675852,6.277624519904896,7.676473053709687,4.240744833262208,63.33545688723929,1.6121904874132775,0.9198965128330184,195.0,1053.0,81.40974593062245,18.162264524782053,3.987361305858685,68.59085350349321,95.17823196793762
